#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 9.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.7912437  3.7888 -0.0108  4.4542  4.913 -0.234  0.440  0.290  0.599  1.009  1.320  1.371  1.417  1.776  1.1294E+01  8.5335E+00  6.1766E+00
 0.7967847  3.7906  0.0146  4.4391  4.845 -0.232  0.435  0.287  0.592  0.996  1.302  1.352  1.396  1.750  1.1345E+01  8.4290E+00  6.0296E+00
 0.8025882  3.7923  0.0403  4.4233  4.777 -0.229  0.431  0.284  0.586  0.983  1.285  1.334  1.377  1.725  1.1588E+01  8.4664E+00  5.9852E+00
 0.8083732  3.7942  0.0646  4.4097  4.712 -0.227  0.427  0.280  0.579  0.968  1.266  1.314  1.355  1.698  1.1355E+01  8.1584E+00  5.7001E+00
 0.8139436  3.7961  0.0887  4.3962  4.648 -0.224  0.422  0.277  0.571  0.955  1.247  1.294  1.334  1.671  1.1159E+01  7.8880E+00  5.4484E+00
 0.8195327  3.7979  0.1134  4.3817  4.583 -0.222  0.418  0.273  0.565  0.942  1.230  1.276  1.314  1.646  1.1118E+01  7.7334E+00  5.2818E+00
 0.8250611  3.7997  0.1383  4.3669  4.518 -0.220  0.413  0.270  0.558  0.929  1.212  1.257  1.294  1.620  1.0934E+01  7.4871E+00  5.0573E+00
 0.8304670  3.8015  0.1634  4.3518  4.452 -0.218  0.409  0.267  0.551  0.915  1.194  1.238  1.274  1.593  1.0762E+01  7.2562E+00  4.8487E+00
 0.8358227  3.8033  0.1889  4.3363  4.385 -0.216  0.405  0.263  0.544  0.902  1.176  1.219  1.253  1.567  1.0653E+01  7.0752E+00  4.6778E+00
 0.8411198  3.8050  0.2148  4.3200  4.317 -0.214  0.400  0.260  0.537  0.890  1.159  1.200  1.234  1.542  1.0484E+01  6.8606E+00  4.4891E+00
 0.8463066  3.8067  0.2410  4.3033  4.248 -0.211  0.396  0.257  0.530  0.877  1.141  1.182  1.214  1.516  1.0291E+01  6.6375E+00  4.2992E+00
 0.8514105  3.8084  0.2675  4.2862  4.178 -0.208  0.392  0.253  0.524  0.864  1.124  1.164  1.195  1.491  1.0238E+01  6.5101E+00  4.1748E+00
 0.8565443  3.8100  0.2948  4.2679  4.107 -0.205  0.388  0.250  0.518  0.853  1.107  1.147  1.177  1.467  1.0312E+01  6.4655E+00  4.1053E+00
 0.8617228  3.8115  0.3230  4.2483  4.033 -0.202  0.385  0.247  0.512  0.842  1.092  1.130  1.160  1.445  1.0355E+01  6.4012E+00  4.0243E+00
 0.8668993  3.8128  0.3528  4.2263  3.956 -0.199  0.382  0.245  0.507  0.832  1.078  1.116  1.145  1.426  1.0238E+01  6.2408E+00  3.8851E+00
 0.8719607  3.8139  0.3842  4.2018  3.875 -0.195  0.379  0.243  0.503  0.824  1.066  1.104  1.132  1.410  1.0182E+01  6.1215E+00  3.7740E+00
 0.8770809  3.8146  0.4187  4.1727  3.786 -0.191  0.377  0.241  0.500  0.818  1.058  1.096  1.124  1.399  1.0360E+01  6.1431E+00  3.7508E+00
 0.8823202  3.8147  0.4562  4.1381  3.691 -0.188  0.376  0.241  0.499  0.816  1.056  1.094  1.122  1.396  9.7939E+00  5.7300E+00  3.4657E+00
 0.8868748  3.8141  0.4916  4.1026  3.602 -0.186  0.377  0.241  0.501  0.820  1.060  1.099  1.127  1.403  8.2565E+00  4.7729E+00  2.8626E+00
 0.8905767  3.8128  0.5229  4.0679  3.525 -0.185  0.379  0.243  0.504  0.828  1.072  1.111  1.140  1.420  6.6006E+00  3.7784E+00  2.2505E+00
 0.8934754  3.8108  0.5498  4.0344  3.460 -0.184  0.383  0.247  0.511  0.842  1.091  1.131  1.162  1.447  5.3282E+00  3.0261E+00  1.7926E+00
 0.8959049  3.8084  0.5741  4.0017  3.403 -0.185  0.388  0.251  0.519  0.859  1.114  1.155  1.188  1.481  4.4596E+00  2.5166E+00  1.4840E+00
 0.8979350  3.8054  0.5959  3.9689  3.353 -0.185  0.394  0.256  0.530  0.880  1.143  1.186  1.221  1.524  3.7474E+00  2.1034E+00  1.2357E+00
 0.8996523  3.8021  0.6158  3.9366  3.308 -0.186  0.401  0.263  0.542  0.903  1.176  1.221  1.257  1.571  3.1887E+00  1.7817E+00  1.0433E+00
 0.9011237  3.7986  0.6327  3.9064  3.272 -0.187  0.408  0.269  0.555  0.928  1.210  1.257  1.296  1.621  2.6975E+00  1.5014E+00  8.7687E-01
 0.9023498  3.7949  0.6470  3.8779  3.243 -0.189  0.416  0.276  0.569  0.955  1.246  1.295  1.336  1.673  2.2144E+00  1.2286E+00  7.1592E-01
 0.9033381  3.7911  0.6590  3.8512  3.221 -0.193  0.424  0.283  0.583  0.983  1.284  1.334  1.379  1.728  1.8621E+00  1.0304E+00  5.9931E-01
 0.9042119  3.7874  0.6698  3.8260  3.202 -0.197  0.432  0.290  0.597  1.011  1.320  1.373  1.421  1.781  1.6782E+00  9.2650E-01  5.3801E-01
 0.9050163  3.7835  0.6797  3.8009  3.186 -0.201  0.441  0.297  0.612  1.040  1.357  1.412  1.463  1.834  1.5082E+00  8.3093E-01  4.8181E-01
 0.9057201  3.7797  0.6882  3.7775  3.172 -0.203  0.450  0.304  0.626  1.064  1.389  1.447  1.500  1.882  1.3667E+00  7.5157E-01  4.3522E-01
 0.9063830  3.7758  0.6957  3.7547  3.159 -0.203  0.459  0.311  0.641  1.086  1.418  1.477  1.533  1.923  1.2790E+00  7.0213E-01  4.0611E-01
 0.9069991  3.7719  0.7022  3.7329  3.148 -0.204  0.470  0.319  0.656  1.104  1.442  1.502  1.561  1.958  1.1683E+00  6.4035E-01  3.6996E-01
 0.9075513  3.7680  0.7075  3.7123  3.140 -0.203  0.480  0.326  0.671  1.120  1.464  1.526  1.586  1.991  1.1039E+00  6.0416E-01  3.4869E-01
 0.9081030  3.7641  0.7126  3.6919  3.131 -0.201  0.491  0.334  0.686  1.137  1.487  1.549  1.612  2.024  1.0665E+00  5.8287E-01  3.3607E-01
 0.9086178  3.7602  0.7176  3.6715  3.124 -0.197  0.504  0.341  0.702  1.156  1.512  1.576  1.641  2.062  1.0036E+00  5.4776E-01  3.1553E-01
 0.9091066  3.7562  0.7233  3.6500  3.115 -0.190  0.518  0.350  0.718  1.178  1.543  1.609  1.677  2.108  9.9810E-01  5.4405E-01  3.1311E-01
 0.9096159  3.7524  0.7309  3.6275  3.102 -0.179  0.532  0.358  0.734  1.202  1.575  1.645  1.715  2.158  1.0461E+00  5.6947E-01  3.2743E-01
 0.9101527  3.7486  0.7419  3.6015  3.081 -0.163  0.548  0.366  0.749  1.228  1.609  1.683  1.755  2.211  1.0917E+00  5.9347E-01  3.4090E-01
 0.9107076  3.7450  0.7573  3.5720  3.049 -0.146  0.563  0.374  0.763  1.252  1.642  1.720  1.794  2.261  1.1424E+00  6.2014E-01  3.5586E-01
 0.9112951  3.7416  0.7781  3.5379  3.002 -0.130  0.577  0.380  0.775  1.275  1.672  1.753  1.830  2.308  1.1942E+00  6.4728E-01  3.7104E-01
 0.9119018  3.7387  0.8042  3.5005  2.942 -0.117  0.590  0.385  0.784  1.293  1.697  1.780  1.859  2.344  1.2082E+00  6.5385E-01  3.7441E-01
 0.9125033  3.7362  0.8346  3.4604  2.869 -0.106  0.602  0.389  0.791  1.309  1.718  1.803  1.884  2.376  1.1841E+00  6.3982E-01  3.6598E-01
 0.9130859  3.7341  0.8676  3.4192  2.790 -0.095  0.612  0.392  0.796  1.322  1.736  1.822  1.904  2.402  1.1358E+00  6.1281E-01  3.5016E-01
 0.9136391  3.7322  0.9023  3.3772  2.705 -0.085  0.621  0.395  0.801  1.334  1.752  1.840  1.923  2.425  1.0810E+00  5.8241E-01  3.3245E-01
 0.9141669  3.7307  0.9385  3.3352  2.617 -0.076  0.629  0.397  0.804  1.343  1.765  1.853  1.937  2.443  1.0228E+00  5.5031E-01  3.1383E-01
 0.9146619  3.7293  0.9749  3.2935  2.528 -0.068  0.635  0.399  0.808  1.352  1.777  1.866  1.951  2.460  9.6560E-01  5.1887E-01  2.9564E-01
 0.9151325  3.7280  1.0122  3.2512  2.437 -0.061  0.641  0.401  0.811  1.360  1.788  1.877  1.963  2.476  9.1170E-01  4.8932E-01  2.7856E-01
 0.9155736  3.7269  1.0497  3.2095  2.344 -0.054  0.646  0.402  0.813  1.367  1.797  1.887  1.974  2.489  8.6330E-01  4.6281E-01  2.6326E-01
 0.9159958  3.7257  1.0874  3.1672  2.252 -0.047  0.652  0.404  0.817  1.375  1.807  1.898  1.985  2.503  8.0910E-01  4.3329E-01  2.4629E-01
 0.9163827  3.7245  1.1249  3.1251  2.160 -0.040  0.657  0.406  0.820  1.382  1.817  1.909  1.996  2.517  7.7110E-01  4.1252E-01  2.3431E-01
 0.9167669  3.7233  1.1624  3.0830  2.069 -0.033  0.662  0.408  0.823  1.389  1.827  1.919  2.007  2.531  7.4580E-01  3.9860E-01  2.2625E-01
 0.9171285  3.7221  1.1997  3.0411  1.977 -0.026  0.667  0.410  0.827  1.397  1.838  1.930  2.018  2.545  7.1980E-01  3.8434E-01  2.1801E-01
 0.9174867  3.7209  1.2371  2.9990  1.886 -0.019  0.672  0.412  0.831  1.404  1.848  1.941  2.029  2.558  6.8090E-01  3.6325E-01  2.0592E-01
 0.9178094  3.7197  1.2747  2.9568  1.795 -0.012  0.677  0.414  0.835  1.412  1.858  1.952  2.040  2.572  6.2320E-01  3.3219E-01  1.8820E-01
