#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=10.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.8853144  3.7345  0.8123  3.4627  2.927 -0.098  0.610  0.392  0.795  1.319  1.733  1.819  1.901  2.397  1.0415E+00  6.0423E-01  3.6331E-01
 0.8858234  3.7327  0.8461  3.4220  2.845 -0.088  0.619  0.394  0.799  1.331  1.748  1.835  1.918  2.419  9.8860E-01  5.7277E-01  3.4406E-01
 0.8863030  3.7310  0.8810  3.3805  2.761 -0.079  0.628  0.396  0.803  1.341  1.762  1.850  1.935  2.440  9.3660E-01  5.4195E-01  3.2526E-01
 0.8867600  3.7296  0.9170  3.3391  2.672 -0.071  0.634  0.398  0.807  1.350  1.774  1.863  1.948  2.457  8.8620E-01  5.1217E-01  3.0712E-01
 0.8871892  3.7282  0.9533  3.2974  2.584 -0.063  0.641  0.400  0.810  1.359  1.786  1.875  1.961  2.473  8.3420E-01  4.8157E-01  2.8854E-01
 0.8875942  3.7270  0.9900  3.2561  2.494 -0.056  0.647  0.402  0.813  1.366  1.796  1.886  1.973  2.488  7.8730E-01  4.5401E-01  2.7182E-01
 0.8879765  3.7259  1.0271  3.2148  2.403 -0.049  0.652  0.404  0.816  1.373  1.805  1.896  1.983  2.501  7.5310E-01  4.3384E-01  2.5956E-01
 0.8883473  3.7249  1.0644  3.1737  2.311 -0.043  0.656  0.405  0.819  1.379  1.814  1.905  1.992  2.512  7.0470E-01  4.0557E-01  2.4248E-01
 0.8886812  3.7238  1.1015  3.1324  2.220 -0.037  0.661  0.407  0.822  1.386  1.823  1.915  2.003  2.525  6.5820E-01  3.7847E-01  2.2614E-01
 0.8890055  3.7226  1.1384  3.0908  2.130 -0.030  0.666  0.409  0.825  1.394  1.833  1.926  2.014  2.539  6.3690E-01  3.6590E-01  2.1850E-01
 0.8893181  3.7214  1.1755  3.0491  2.039 -0.023  0.671  0.411  0.829  1.401  1.844  1.937  2.025  2.553  6.1550E-01  3.5332E-01  2.1086E-01
 0.8896210  3.7202  1.2124  3.0075  1.950 -0.016  0.675  0.413  0.833  1.409  1.854  1.947  2.035  2.566  5.8520E-01  3.3566E-01  2.0021E-01
 0.8899033  3.7190  1.2492  2.9661  1.860 -0.009  0.680  0.416  0.837  1.416  1.864  1.958  2.046  2.580  5.4400E-01  3.1179E-01  1.8588E-01
 0.8901650  3.7178  1.2864  2.9242  1.770 -0.003  0.685  0.418  0.842  1.424  1.875  1.969  2.057  2.593  5.0360E-01  2.8844E-01  1.7187E-01
 0.8904069  3.7166  1.3230  2.8829  1.682  0.004  0.689  0.421  0.847  1.431  1.885  1.981  2.067  2.607  4.6780E-01  2.6776E-01  1.5948E-01
 0.8906328  3.7154  1.3600  2.8412  1.593  0.010  0.693  0.424  0.852  1.439  1.896  1.992  2.078  2.620  4.3850E-01  2.5084E-01  1.4934E-01
 0.8908454  3.7142  1.3971  2.7994  1.503  0.017  0.697  0.427  0.858  1.446  1.906  2.003  2.088  2.633  4.1090E-01  2.3492E-01  1.3981E-01
 0.8910437  3.7130  1.4338  2.7580  1.415  0.023  0.701  0.430  0.864  1.454  1.917  2.014  2.099  2.646  3.8150E-01  2.1800E-01  1.2969E-01
 0.8912269  3.7116  1.4701  2.7162  1.329  0.030  0.706  0.434  0.871  1.463  1.930  2.028  2.111  2.661  3.5200E-01  2.0104E-01  1.1956E-01
 0.8913957  3.7101  1.5062  2.6742  1.243  0.038  0.711  0.438  0.878  1.473  1.943  2.042  2.124  2.678  3.2660E-01  1.8645E-01  1.1085E-01
 0.8915535  3.7087  1.5421  2.6328  1.158  0.046  0.716  0.442  0.886  1.481  1.955  2.055  2.136  2.693  3.0580E-01  1.7451E-01  1.0372E-01
