#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 8.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 
 0.8662388  3.8119  0.2582  4.3170  4.197 -0.207  0.385  0.247  0.512  0.840  1.090  1.128  1.157  1.442  1.0787E+01  6.5872E+00  4.1057E+00
 0.8716054  3.8137  0.2841  4.3009  4.128 -0.204  0.381  0.244  0.505  0.827  1.072  1.110  1.137  1.416  1.0706E+01  6.4435E+00  3.9754E+00
 0.8769451  3.8155  0.3106  4.2843  4.058 -0.199  0.377  0.241  0.499  0.814  1.053  1.091  1.117  1.390  1.0750E+01  6.3771E+00  3.8948E+00
 0.8823553  3.8172  0.3379  4.2665  3.986 -0.195  0.373  0.238  0.494  0.801  1.036  1.072  1.098  1.365  1.0803E+01  6.3167E+00  3.8191E+00
 0.8877476  3.8188  0.3658  4.2476  3.913 -0.189  0.370  0.235  0.488  0.790  1.019  1.055  1.079  1.342  1.0768E+01  6.2068E+00  3.7152E+00
 0.8931230  3.8202  0.3951  4.2265  3.836 -0.184  0.366  0.232  0.484  0.779  1.004  1.040  1.063  1.321  1.0555E+01  5.9990E+00  3.5555E+00
 0.8983022  3.8215  0.4256  4.2037  3.757 -0.179  0.363  0.230  0.479  0.769  0.990  1.026  1.048  1.302  1.0526E+01  5.9007E+00  3.4634E+00
 0.9036492  3.8227  0.4570  4.1797  3.675 -0.174  0.361  0.227  0.475  0.760  0.977  1.013  1.035  1.285  1.1088E+01  6.1288E+00  3.5619E+00
 0.9093904  3.8234  0.4921  4.1502  3.585 -0.169  0.359  0.226  0.472  0.754  0.969  1.004  1.026  1.274  1.1620E+01  6.3289E+00  3.6404E+00
 0.9152692  3.8234  0.5310  4.1141  3.487 -0.165  0.358  0.225  0.472  0.753  0.967  1.003  1.025  1.272  1.0554E+01  5.6670E+00  3.2271E+00
 0.9199448  3.8225  0.5650  4.0787  3.402 -0.164  0.359  0.227  0.474  0.759  0.974  1.011  1.033  1.283  8.2605E+00  4.3822E+00  2.4744E+00
 0.9235297  3.8207  0.5933  4.0449  3.333 -0.166  0.362  0.229  0.479  0.771  0.991  1.028  1.052  1.307  6.4952E+00  3.4134E+00  1.9147E+00
 0.9264400  3.8184  0.6182  4.0121  3.274 -0.168  0.366  0.233  0.485  0.786  1.013  1.051  1.076  1.338  5.2457E+00  2.7363E+00  1.5269E+00
 0.9287754  3.8155  0.6398  3.9800  3.225 -0.172  0.372  0.238  0.494  0.807  1.041  1.080  1.108  1.378  4.3204E+00  2.2400E+00  1.2446E+00
 0.9307604  3.8122  0.6594  3.9482  3.181 -0.175  0.378  0.244  0.504  0.830  1.073  1.113  1.143  1.424  3.5845E+00  1.8492E+00  1.0239E+00
 0.9323599  3.8086  0.6763  3.9176  3.144 -0.177  0.386  0.250  0.517  0.855  1.109  1.150  1.183  1.475  2.8728E+00  1.4760E+00  8.1492E-01
 0.9336332  3.8048  0.6904  3.8889  3.115 -0.179  0.394  0.257  0.531  0.883  1.147  1.190  1.225  1.530  2.3607E+00  1.2089E+00  6.6591E-01
 0.9347206  3.8010  0.7028  3.8618  3.091 -0.181  0.402  0.264  0.545  0.910  1.185  1.230  1.268  1.585  1.9836E+00  1.0130E+00  5.5694E-01
 0.9356168  3.7971  0.7134  3.8360  3.071 -0.183  0.410  0.271  0.560  0.938  1.223  1.271  1.311  1.641  1.7220E+00  8.7739E-01  4.8158E-01
 0.9364426  3.7932  0.7232  3.8110  3.055 -0.186  0.419  0.279  0.575  0.967  1.261  1.311  1.354  1.696  1.5507E+00  7.8848E-01  4.3216E-01
 0.9371675  3.7893  0.7318  3.7871  3.042 -0.191  0.427  0.286  0.589  0.996  1.300  1.352  1.399  1.753  1.3843E+00  7.0258E-01  3.8458E-01
 0.9378269  3.7853  0.7393  3.7639  3.032 -0.196  0.436  0.293  0.604  1.026  1.339  1.394  1.443  1.809  1.2715E+00  6.4426E-01  3.5224E-01
 0.9384390  3.7814  0.7460  3.7419  3.024 -0.199  0.445  0.300  0.619  1.053  1.374  1.431  1.484  1.860  1.1639E+00  5.8884E-01  3.2160E-01
 0.9389908  3.7774  0.7514  3.7208  3.017 -0.201  0.455  0.308  0.634  1.077  1.406  1.465  1.520  1.906  1.0523E+00  5.3164E-01  2.9008E-01
 0.9394913  3.7734  0.7559  3.7005  3.011 -0.201  0.465  0.316  0.650  1.096  1.432  1.492  1.550  1.945  1.0140E+00  5.1163E-01  2.7890E-01
 0.9400048  3.7694  0.7601  3.6806  3.006 -0.201  0.476  0.323  0.665  1.114  1.456  1.517  1.576  1.979  9.7390E-01  4.9079E-01  2.6731E-01
 0.9404652  3.7653  0.7637  3.6608  3.002 -0.200  0.487  0.331  0.681  1.131  1.479  1.541  1.603  2.013  9.1580E-01  4.6096E-01  2.5086E-01
 0.9409206  3.7613  0.7674  3.6413  2.997 -0.197  0.500  0.339  0.697  1.150  1.504  1.568  1.632  2.050  9.3080E-01  4.6797E-01  2.5447E-01
 0.9413960  3.7573  0.7720  3.6209  2.991 -0.191  0.513  0.347  0.713  1.172  1.534  1.599  1.666  2.094  9.7250E-01  4.8836E-01  2.6533E-01
 0.9418931  3.7534  0.7784  3.5991  2.982 -0.180  0.528  0.356  0.729  1.196  1.566  1.635  1.704  2.144  9.9980E-01  5.0145E-01  2.7221E-01
 0.9423958  3.7494  0.7876  3.5742  2.965 -0.166  0.544  0.365  0.746  1.222  1.601  1.674  1.747  2.199  1.0743E+00  5.3812E-01  2.9185E-01
 0.9429674  3.7457  0.8025  3.5447  2.934 -0.149  0.559  0.372  0.760  1.247  1.635  1.712  1.787  2.251  1.1713E+00  5.8588E-01  3.1744E-01
 0.9435671  3.7422  0.8228  3.5107  2.889 -0.132  0.574  0.379  0.773  1.271  1.667  1.747  1.824  2.299  1.2258E+00  6.1223E-01  3.3137E-01
 0.9441932  3.7392  0.8492  3.4726  2.828 -0.119  0.587  0.384  0.783  1.290  1.693  1.776  1.854  2.338  1.2472E+00  6.2196E-01  3.3627E-01
 0.9448143  3.7366  0.8799  3.4318  2.755 -0.107  0.599  0.389  0.790  1.306  1.715  1.800  1.880  2.371  1.2279E+00  6.1139E-01  3.3020E-01
 0.9454211  3.7345  0.9138  3.3897  2.673 -0.096  0.609  0.392  0.795  1.319  1.733  1.819  1.900  2.397  1.1814E+00  5.8736E-01  3.1689E-01
 0.9459957  3.7327  0.9494  3.3472  2.587 -0.086  0.618  0.394  0.799  1.331  1.748  1.835  1.918  2.419  1.1190E+00  5.5554E-01  2.9942E-01
 0.9465401  3.7311  0.9861  3.3044  2.497 -0.078  0.626  0.396  0.803  1.341  1.761  1.849  1.933  2.438  1.0572E+00  5.2415E-01  2.8223E-01
 0.9470529  3.7297  1.0235  3.2616  2.406 -0.069  0.633  0.398  0.807  1.349  1.773  1.862  1.947  2.455  9.9480E-01  4.9259E-01  2.6500E-01
 0.9475349  3.7284  1.0613  3.2188  2.313 -0.062  0.639  0.400  0.810  1.358  1.784  1.874  1.959  2.471  9.4580E-01  4.6776E-01  2.5143E-01
